Security Code,Issuer Name,Security Id,ISIN No,Industry
532400,BIRLASOFT LIMITED,BSOFT,INE836A01035,Computers - Software & Consulting
532402,USG Tech Solutions Ltd,USGTECH,INE718B01017,IT Enabled Services
532404,Saven Technologies Ltd.,7TEC,INE856B01023,IT Enabled Services
532406,Avantel Limited,AVANTEL,INE005B01019,Telecom -  Equipment & Accessories
532407,MOSCHIP TECHNOLOGIES LIMITED,MOSCHIP,INE935B01025,Software Products
532408,Megasoft Ltd.,MEGASOFT,INE933B01012,Other Telecom Services
532410,Transcorp International Ltd.,TRANSCOR,INE330E01023,Other Financial Services
532411,Visesh Infotecnics Ltd.,VISESHINFO,INE861A01058,Other Telecom Services
532413,Cerebra Integrated Technologies Ltd.,CEREBRAINT,INE345B01019,Computers Hardware & Equipments
532416,Next Mediaworks Ltd,NEXTMEDIA,INE747B01016,Advertising & Media Agencies
532419,Smartlink Holdings Limited,SMARTLINK,INE178C01020,Computers Hardware & Equipments
532424,Godrej Consumer Products Ltd.,GODREJCP,INE102D01028,Personal Care
532425,GENUS PRIME INFRA LIMITED,GENUSPRIME,INE256D01014,Commodity Chemicals
532430,BF Utilities Ltd.,BFUTILITIE,INE243D01012,Civil Construction
532432,United Spirits Limited,UNITDSPR,INE854D01024,Breweries & Distilleries
532435,Sanmit Infra Limited,SANINFRA,INE799C01031,Refineries & Marketing
532439,OLECTRA GREENTECH LIMITED,OLECTRA,INE260D01016,Passenger Cars & Utility Vehicles
532440,MPS Limited,MPSLTD,INE943D01017,E-Learning
532441,Rainbow Denim Ltd.,RAINBOWDQ,INE820D01025,Other Textile Products
532443,Cera Sanitaryware Ltd.,CERA,INE739E01017,Sanitary Ware
532444,T. Spiritual World Ltd.,TSPIRITUAL,INE541C01037,Software Products
532454,Bharti Airtel  Ltd.,BHARTIARTL,INE397D01024,Telecom - Cellular & Fixed line services
532455,Shalimar Wires Industries Ltd.,SHALIWIR,INE655D01025,Copper
532456,Compuage Infocom Ltd,COMPUAGE,INE070C01037,Computers Hardware & Equipments
532457,Gulshan Polyols Ltd.,GULPOLY,INE255D01024,Commodity Chemicals
532459,FAZE THREE AUTOFAB LIMITED,FAZE3AUTO,INE207D01017,Other Textile Products
532460,Ponni Sugars (Erode) Ltd.,PONNIERODE,INE838E01017,Sugar
532461,Punjab National Bank,PNB,INE160A01022,Public Sector Bank
532466,Oracle Financial Services Software Limited,OFSS,INE881D01027,Software Products
532467,Hazoor Multi Projects Limited,HAZOOR,INE550F01031,Residential- Commercial Projects
532468,Kama Holdings Limited,KAMAHOLD,INE411F01010,Holding Company
532475,Aptech Ltd.,APTECHT,INE266F01018,Education
532477,Union Bank of India,UNIONBANK,INE692A01016,Public Sector Bank
532478,United Breweries Ltd.,UBL,INE686F01025,Breweries & Distilleries
532479,ISMT Limited,ISMTLTD,INE732F01019,Iron & Steel Products
532481,Noida Toll Bridge Company Ltd,NOIDATOLL,INE781B01015,Road Assets–Toll- Annuity- Hybrid-Annuity
532482,Granules India Ltd.,GRANULES,INE101D01020,Pharmaceuticals
532483,Canara Bank,CANBK,INE476A01014,Public Sector Bank
532485,Balmer Lawrie Investments Ltd.,BLIL,INE525F01017,Non Banking Financial Company (NBFC)
